Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
4947,2.6,298.0,295.4,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,40.0,40.0,OK
5438,359.6,129.0,129.4,0.0,52.484123,-1.889412,4,0.26,223.59,91.4,140.0,168.0,OK
5981,2.6,297.0,294.4,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
6474,359.6,129.0,129.4,0.0,52.484123,-1.889417,4,0.09,5.12,91.42,168.0,168.0,OK
7012,2.6,297.0,294.4,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
7259,124.0,0.0,236.0,0.0,52.483722,-1.889897,9,0.0,25.9,45.0,158.0,158.0,OK
7512,359.6,129.0,129.4,0.0,52.484123,-1.889425,4,0.04,230.13,91.45,168.0,168.0,OK
8044,2.7,297.0,294.3,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
8294,124.0,0.0,236.0,0.0,52.483722,-1.889897,9,0.0,25.9,45.0,158.0,158.0,OK
8561,359.6,129.0,129.4,0.0,52.484119,-1.889432,4,0.04,297.87,91.47,168.0,168.0,OK
9098,2.5,296.0,293.5,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,44.0,44.0,OK
9338,127.5,0.0,232.5,0.0,52.483722,-1.889897,9,0.0,25.9,45.0,166.0,166.0,OK
9619,359.6,129.0,129.4,0.0,52.484115,-1.88944,4,0.04,99.26,91.51,168.0,168.0,OK
10131,2.6,296.0,293.4,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,44.0,44.0,OK
10371,142.4,28.0,245.6,0.0,52.483722,-1.889897,9,0.0,25.9,45.0,140.0,140.0,OK
10663,359.6,129.0,129.4,0.0,52.484115,-1.889445,4,0.04,99.26,91.52,168.0,168.0,OK
11166,2.6,296.0,293.4,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,44.0,44.0,OK
11438,175.5,53.0,237.5,0.0,52.483722,-1.889897,9,0.0,25.9,135.0,150.0,156.0,OK
11701,359.6,129.0,129.4,0.0,52.484111,-1.889447,4,0.06,327.77,91.53,168.0,168.0,OK
12201,2.6,296.0,293.4,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,44.0,44.0,OK
12473,194.2,33.0,198.8,0.0,52.483722,-1.889897,9,0.0,25.9,135.0,180.0,180.0,OK
12750,359.6,129.0,129.4,0.0,52.484111,-1.889447,4,0.02,192.39,91.53,168.0,168.0,OK
13234,2.6,295.0,292.4,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,46.0,46.0,OK
13343,355.2,126.0,130.8,3.36,52.483783,-1.888743,6,0.78,94.21,45.0,170.0,170.0,OK
13506,198.0,20.0,182.0,0.0,52.483722,-1.889897,9,0.0,25.9,135.0,180.0,180.0,OK
13787,359.6,129.0,129.4,0.0,52.484107,-1.889445,4,0.0,0.0,91.52,168.0,168.0,OK
14301,2.6,296.0,293.4,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,44.0,44.0,OK
14389,355.2,126.0,130.8,3.36,52.483783,-1.888743,6,0.78,94.21,45.0,170.0,170.0,OK
14534,194.9,11.0,176.1,0.0,52.483722,-1.889897,8,0.0,25.9,135.0,180.0,180.0,OK
14643,26.1,270.0,243.9,5.76,52.484222,-1.890122,9,0.0,356.97,131.09,144.0,144.0,OK
14857,359.6,129.0,129.4,0.0,52.484104,-1.889445,4,0.02,272.17,91.52,168.0,168.0,OK
15335,2.7,296.0,293.3,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,44.0,44.0,OK
15422,355.2,126.0,130.8,1.92,52.483894,-1.888892,6,1.3,151.59,45.0,170.0,170.0,OK
15572,168.5,18.0,209.5,0.0,52.483722,-1.889897,8,0.0,25.9,135.0,180.0,180.0,OK
15679,23.4,271.0,247.6,5.76,52.484222,-1.890122,9,0.0,356.97,132.44,136.0,136.0,OK
15884,359.6,129.0,129.4,0.0,52.484096,-1.889383,5,0.06,147.07,91.28,168.0,168.0,OK
16371,2.7,297.0,294.3,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
16455,355.2,129.0,133.8,1.92,52.483959,-1.889063,6,0.5,338.69,45.0,176.0,176.0,OK
16622,175.0,26.0,211.0,3.84,52.483722,-1.889897,9,0.0,25.9,135.0,180.0,180.0,OK
16713,35.0,276.0,241.0,5.76,52.484222,-1.890122,9,0.0,356.97,126.64,148.0,148.0,OK
16922,359.6,129.0,129.4,0.0,52.484092,-1.889358,5,0.07,4.04,91.19,168.0,168.0,OK
17406,2.7,297.0,294.3,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
17501,355.2,133.0,137.8,1.92,52.483989,-1.889128,6,0.48,6.52,45.0,180.0,180.0,OK
17656,197.2,11.0,173.8,3.84,52.483749,-1.88989,9,0.0,25.9,135.0,180.0,180.0,OK
17761,34.7,293.0,258.3,5.76,52.484222,-1.890122,8,0.0,356.97,126.79,114.0,114.0,OK
17958,359.6,129.0,129.4,0.0,52.484088,-1.889342,5,0.02,235.16,91.12,168.0,168.0,OK
18440,2.7,297.0,294.3,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
18535,355.2,133.0,137.8,1.92,52.484004,-1.889148,6,0.39,88.51,45.0,180.0,180.0,OK
18684,188.2,0.0,171.8,3.84,52.483757,-1.88991,9,4.19,309.97,135.0,180.0,180.0,OK
