Log File Information
Timestamp,20250411_132359
Port,/dev/ttyACM0
Baud Rate,115200

Time(ms) (s),Heading(°) (degrees),WindDir(°),WindSpd(mph),Lat,Lon,Sat,Rudder(°),Sail(°),Status
1002,56.7,4.0,0.0,0.000000,0.000000,0,90.0,90.0,GPS_ERROR
2020,56.7,4.0,0.0,52.486343,-1.889420,8,135.0,16.0,OK
3047,56.3,4.0,0.0,52.486332,-1.889424,8,135.0,16.0,OK
4073,56.3,4.0,0.0,52.486320,-1.889429,8,135.0,16.0,OK
5100,56.3,4.0,0.0,52.486309,-1.889433,8,135.0,16.0,OK
6127,56.3,4.0,0.0,52.486298,-1.889438,8,135.0,16.0,OK
7152,56.3,4.0,0.0,52.486286,-1.889442,8,135.0,16.0,OK
8177,56.3,4.0,0.0,52.486275,-1.889447,8,135.0,16.0,OK
9207,56.3,4.0,0.0,52.486263,-1.889451,8,135.0,16.0,OK
10232,56.3,4.0,0.0,52.486252,-1.889455,8,135.0,16.0,OK
11259,56.3,4.0,0.0,52.486240,-1.889460,8,135.0,16.0,OK
12286,56.3,4.0,0.0,52.486229,-1.889464,8,135.0,16.0,OK
13314,56.3,4.0,0.0,52.486217,-1.889468,8,135.0,16.0,OK
14340,56.3,4.0,0.0,52.486206,-1.889473,8,135.0,16.0,OK
15367,56.3,4.0,0.0,52.486195,-1.889477,8,135.0,16.0,OK
16392,56.3,4.0,0.0,52.486183,-1.889481,8,135.0,16.0,OK
17419,56.3,4.0,0.0,52.486172,-1.889485,8,135.0,16.0,OK
18450,56.3,4.0,0.0,52.486160,-1.889490,8,135.0,16.0,OK
19476,56.3,4.0,0.0,52.486149,-1.889494,8,135.0,16.0,OK
20501,56.3,4.0,0.0,52.486137,-1.889498,8,135.0,16.0,OK
21528,56.3,4.0,0.0,52.486126,-1.889502,8,135.0,16.0,OK
22555,56.3,4.0,0.0,52.486115,-1.889506,8,135.0,16.0,OK
23582,56.3,4.0,0.0,52.486103,-1.889510,8,135.0,16.0,OK
24609,56.3,4.0,0.0,52.486092,-1.889514,8,135.0,16.0,OK
25636,56.3,4.0,0.0,52.486080,-1.889518,8,135.0,16.0,OK
26659,56.3,4.0,0.0,52.486069,-1.889522,8,106.7,16.0,OK
27686,56.3,4.0,0.0,52.486069,-1.889501,8,106.7,16.0,OK
28715,56.3,4.0,0.0,52.486069,-1.889480,8,106.9,16.0,OK
29737,56.3,4.0,0.0,52.486069,-1.889459,8,106.7,16.0,OK
30763,56.3,4.0,0.0,52.486069,-1.889438,8,106.5,16.0,OK
31792,56.3,4.0,0.0,52.486069,-1.889417,8,106.9,16.0,OK
32820,56.3,4.0,0.0,52.486069,-1.889396,8,106.9,16.0,OK
33846,56.3,4.0,0.0,52.486069,-1.889374,8,106.7,16.0,OK
34870,56.3,4.0,0.0,52.486069,-1.889354,8,106.7,16.0,OK
35898,56.1,4.0,0.0,52.486069,-1.889333,8,107.0,16.0,OK
36923,56.1,4.0,0.0,52.486069,-1.889311,8,106.7,16.0,OK
37954,56.1,4.0,0.0,52.486069,-1.889290,8,107.0,16.0,OK
38982,56.1,4.0,0.0,52.486069,-1.889269,8,107.0,16.0,OK
40007,56.1,4.0,0.0,52.486069,-1.889248,8,106.7,16.0,OK
41035,56.1,4.0,0.0,52.486069,-1.889227,8,107.0,16.0,OK
42063,56.1,4.0,0.0,52.486069,-1.889206,8,107.0,16.0,OK
43094,56.1,4.0,0.0,52.486069,-1.889185,8,107.0,16.0,OK
44122,56.1,4.0,0.0,52.486069,-1.889164,8,107.0,16.0,OK
45166,56.1,4.0,0.0,52.486069,-1.889122,8,107.0,16.0,OK
46194,56.1,4.0,0.0,52.486069,-1.889101,8,106.5,16.0,OK
47222,56.1,4.0,0.0,52.486069,-1.889081,8,56.5,16.0,OK
48248,56.1,4.0,0.0,52.486080,-1.889093,8,45.0,16.0,OK
49273,56.1,4.0,0.0,52.486092,-1.889106,8,45.0,16.0,OK
50298,56.1,4.0,0.0,52.486103,-1.889119,8,45.0,16.0,OK
51323,56.1,4.0,0.0,52.486115,-1.889132,8,45.0,16.0,OK
52347,56.1,4.0,0.0,52.486126,-1.889145,8,45.0,16.0,OK
53371,56.1,4.0,0.0,52.486137,-1.889157,8,45.0,16.0,OK
54396,56.1,4.0,0.0,52.486149,-1.889170,8,45.0,16.0,OK
55420,56.1,4.0,0.0,52.486160,-1.889183,8,45.0,16.0,OK
56449,56.1,4.0,0.0,52.486172,-1.889196,8,45.0,16.0,OK
57475,56.1,4.0,0.0,52.486183,-1.889210,8,45.0,16.0,OK
58498,56.1,4.0,0.0,52.486195,-1.889223,8,45.0,16.0,OK
59522,56.1,4.0,0.0,52.486206,-1.889236,8,45.0,16.0,OK
60548,56.1,4.0,0.0,52.486214,-1.889250,8,45.0,16.0,OK
61573,56.1,4.0,0.0,52.486225,-1.889263,8,45.0,16.0,OK
62597,56.1,4.0,0.0,52.486237,-1.889276,8,45.0,16.0,OK
63622,56.1,4.0,0.0,52.486248,-1.889290,8,45.0,16.0,OK
64647,56.1,4.0,0.0,52.486256,-1.889304,8,45.0,16.0,OK
65674,56.1,4.0,0.0,52.486263,-1.889317,8,45.0,16.0,OK
66711,56.1,4.0,0.0,52.486271,-1.889331,8,135.0,16.0,OK
67736,56.1,4.0,0.0,52.486259,-1.889340,8,135.0,16.0,OK
68760,56.1,4.0,0.0,52.486248,-1.889348,8,135.0,16.0,OK
69786,56.1,4.0,0.0,52.486237,-1.889357,8,135.0,16.0,OK
70811,56.1,4.0,0.0,52.486225,-1.889366,8,135.0,16.0,OK
71836,56.1,4.0,0.0,52.486214,-1.889374,8,135.0,16.0,OK
72863,56.1,4.0,0.0,52.486202,-1.889383,8,135.0,16.0,OK
73888,56.1,4.0,0.0,52.486191,-1.889392,8,135.0,16.0,OK
74913,56.1,4.0,0.0,52.486179,-1.889401,8,135.0,16.0,OK
75941,56.1,4.0,0.0,52.486168,-1.889409,8,135.0,16.0,OK
76966,56.1,4.0,0.0,52.486156,-1.889418,8,135.0,16.0,OK
77992,56.1,4.0,0.0,52.486145,-1.889427,8,135.0,16.0,OK
79020,56.1,4.0,0.0,52.486134,-1.889435,8,135.0,16.0,OK
80045,56.1,4.0,0.0,52.486122,-1.889444,8,135.0,16.0,OK
81070,56.1,4.0,0.0,52.486111,-1.889453,8,135.0,16.0,OK
82097,56.1,4.0,0.0,52.486099,-1.889462,8,135.0,16.0,OK
83122,56.1,4.0,0.0,52.486088,-1.889470,8,135.0,16.0,OK
84160,56.1,4.0,0.0,52.486076,-1.889479,8,135.0,16.0,OK
85189,56.1,4.0,0.0,52.486065,-1.889488,8,106.8,16.0,OK
86216,56.1,4.0,0.0,52.486065,-1.889467,8,106.8,16.0,OK
87238,56.1,4.0,0.0,52.486065,-1.889446,8,107.0,16.0,OK
88265,56.1,4.0,0.0,52.486065,-1.889426,8,106.8,16.0,OK
89299,56.1,4.0,0.0,52.486065,-1.889405,8,107.0,16.0,OK
90319,56.1,4.0,0.0,52.486065,-1.889384,8,107.0,16.0,OK
91339,56.1,4.0,0.0,52.486065,-1.889363,8,107.0,16.0,OK
92366,56.1,4.0,0.0,52.486065,-1.889343,8,106.8,16.0,OK
93394,56.1,4.0,0.0,52.486065,-1.889322,8,106.7,16.0,OK
94417,56.1,4.0,0.0,52.486065,-1.889301,8,107.0,16.0,OK
95447,56.1,4.0,0.0,52.486065,-1.889280,8,106.7,16.0,OK
96466,56.1,4.0,0.0,52.486065,-1.889260,8,107.0,16.0,OK
97485,56.1,4.0,0.0,52.486065,-1.889239,8,107.0,16.0,OK
98506,56.1,4.0,0.0,52.486065,-1.889217,8,107.0,16.0,OK
99534,56.1,4.0,0.0,52.486065,-1.889197,8,106.6,16.0,OK
100554,56.1,4.0,0.0,52.486065,-1.889176,8,107.0,16.0,OK
101575,56.1,4.0,0.0,52.486065,-1.889154,8,107.0,16.0,OK
102603,56.1,4.0,0.0,52.486065,-1.889134,8,106.5,16.0,OK
103625,56.1,4.0,0.0,52.486065,-1.889112,8,107.0,16.0,OK
104646,56.1,4.0,0.0,52.486065,-1.889091,8,107.0,16.0,OK
105671,56.1,4.0,0.0,52.486065,-1.889071,8,45.0,16.0,OK
106695,56.1,4.0,0.0,52.486076,-1.889084,8,45.0,16.0,OK
107721,56.1,4.0,0.0,52.486088,-1.889097,8,45.0,16.0,OK
108746,56.1,4.0,0.0,52.486099,-1.889110,8,45.0,16.0,OK
109771,56.1,4.0,0.0,52.486111,-1.889123,8,45.0,16.0,OK
110795,56.1,4.0,0.0,52.486122,-1.889136,8,45.0,16.0,OK
111820,56.1,4.0,0.0,52.486134,-1.889149,8,45.0,16.0,OK
112847,56.1,4.0,0.0,52.486145,-1.889163,8,45.0,16.0,OK
113872,56.1,4.0,0.0,52.486156,-1.889176,8,45.0,16.0,OK
114897,56.1,4.0,0.0,52.486168,-1.889189,8,45.0,16.0,OK
115921,56.1,4.0,0.0,52.486179,-1.889203,8,45.0,16.0,OK
116945,56.1,4.0,0.0,52.486191,-1.889217,8,45.0,16.0,OK
117969,56.1,4.0,0.0,52.486202,-1.889230,8,45.0,16.0,OK
