Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
6216,124.00,356.00,0.00,0.00,0.000000,0.000000,0,0.00,0.00,90.00,90.00,90.00,GPS_ERROR
7259,124.00,0.00,236.00,0.00,52.483722,-1.889897,9,0.00,25.90,45.00,158.00,158.00,OK
8294,124.00,0.00,236.00,0.00,52.483722,-1.889897,9,0.00,25.90,45.00,158.00,158.00,OK
9338,127.50,0.00,232.50,0.00,52.483722,-1.889897,9,0.00,25.90,45.00,166.00,166.00,OK
10371,142.40,28.00,245.60,0.00,52.483722,-1.889897,9,0.00,25.90,45.00,140.00,140.00,OK
11438,175.50,53.00,237.50,0.00,52.483722,-1.889897,9,0.00,25.90,135.00,150.00,156.00,OK
12473,194.20,33.00,198.80,0.00,52.483722,-1.889897,9,0.00,25.90,135.00,180.00,180.00,OK
13506,198.00,20.00,182.00,0.00,52.483722,-1.889897,9,0.00,25.90,135.00,180.00,180.00,OK
14534,194.90,11.00,176.10,0.00,52.483722,-1.889897,8,0.00,25.90,135.00,180.00,180.00,OK
15572,168.50,18.00,209.50,0.00,52.483722,-1.889897,8,0.00,25.90,135.00,180.00,180.00,OK
16622,175.00,26.00,211.00,3.84,52.483722,-1.889897,9,0.00,25.90,135.00,180.00,180.00,OK
17656,197.20,11.00,173.80,3.84,52.483749,-1.889890,9,0.00,25.90,135.00,180.00,180.00,OK
18684,188.20,0.00,171.80,3.84,52.483757,-1.889910,9,4.19,309.97,135.00,180.00,180.00,OK
19717,157.70,36.00,238.30,3.84,52.483764,-1.889932,9,4.15,300.60,135.00,154.00,154.00,OK
20751,165.00,40.00,235.00,3.84,52.483768,-1.889952,9,4.24,294.18,135.00,160.00,160.00,OK
21816,188.10,24.00,195.90,5.28,52.483776,-1.889968,9,4.33,290.95,135.00,180.00,180.00,OK
22852,220.50,10.00,149.50,5.28,52.483779,-1.889982,9,3.91,319.67,135.00,180.00,180.00,OK
23881,231.80,0.00,128.20,5.28,52.483791,-1.889993,9,3.67,316.80,135.00,166.00,166.00,OK
24913,228.60,358.00,129.40,5.28,52.483795,-1.890005,9,1.87,330.61,135.00,168.00,168.00,OK
25960,207.00,358.00,151.00,5.28,52.483802,-1.890015,9,2.78,317.50,135.00,180.00,180.00,OK
27010,190.20,7.00,176.80,6.72,52.483806,-1.890023,9,2.19,314.64,135.00,180.00,180.00,OK
28043,192.60,13.00,180.40,6.72,52.483810,-1.890032,9,2.89,326.62,135.00,180.00,180.00,OK
29072,197.60,6.00,168.40,6.72,52.483821,-1.890042,9,3.74,334.71,135.00,180.00,180.00,OK
30115,230.30,0.00,129.70,6.72,52.483833,-1.890052,9,3.50,324.56,135.00,168.00,168.00,OK
31148,241.20,327.00,85.80,6.72,52.483840,-1.890062,9,2.76,318.87,135.00,80.00,80.00,OK
32221,223.20,330.00,106.80,6.72,52.483844,-1.890062,9,0.00,35.96,135.00,122.00,122.00,OK
33254,203.80,0.00,156.20,6.72,52.483848,-1.890065,9,0.00,14.07,135.00,180.00,180.00,OK
34282,203.70,0.00,156.30,6.72,52.483852,-1.890072,9,1.80,345.69,135.00,180.00,180.00,OK
35311,214.40,0.00,145.60,6.72,52.483860,-1.890075,9,2.56,346.68,135.00,180.00,180.00,OK
36357,226.60,332.00,105.40,8.16,52.483867,-1.890083,9,3.07,342.51,135.00,120.00,120.00,OK
37413,230.70,344.00,113.30,8.16,52.483875,-1.890090,9,3.32,348.40,135.00,136.00,136.00,OK
38451,227.80,324.00,96.20,8.16,52.483882,-1.890097,9,3.19,346.91,135.00,102.00,102.00,OK
39481,0.00,339.00,339.00,8.16,52.483898,-1.890107,9,3.63,351.57,79.26,0.00,0.00,OK
40511,358.20,345.00,346.80,8.16,52.483901,-1.890120,9,3.32,346.05,80.88,0.00,0.00,OK
41542,359.00,0.00,1.00,6.72,52.483924,-1.890137,9,3.69,349.30,80.43,0.00,0.00,OK
42605,7.70,0.00,352.30,6.72,52.483936,-1.890143,9,4.06,348.59,76.25,0.00,0.00,OK
43643,11.50,356.00,344.50,6.72,52.483951,-1.890152,9,4.22,348.92,74.23,0.00,0.00,OK
44674,32.60,356.00,323.40,6.72,52.483963,-1.890153,9,4.07,356.96,63.44,0.00,0.00,OK
45707,20.60,336.00,315.40,6.72,52.483974,-1.890160,9,2.69,5.60,69.39,0.00,0.00,OK
46749,2.00,346.00,344.00,6.72,52.483985,-1.890168,9,3.28,4.64,78.66,0.00,0.00,OK
47805,24.90,338.00,313.10,6.72,52.484004,-1.890178,9,3.39,3.06,67.08,4.00,4.00,OK
48839,29.90,314.00,284.10,6.72,52.484016,-1.890188,9,3.78,357.63,64.71,62.00,62.00,OK
49876,13.10,319.00,305.90,6.72,52.484031,-1.890197,9,3.83,5.14,73.20,20.00,20.00,OK
50921,28.00,0.00,332.00,6.72,52.484046,-1.890200,9,4.56,11.43,64.95,0.00,0.00,OK
51951,49.90,354.00,304.10,5.28,52.484066,-1.890203,9,3.20,4.61,52.83,22.00,22.00,OK
53023,50.70,335.00,284.30,5.28,52.484077,-1.890212,9,3.54,12.32,52.13,62.00,62.00,OK
54056,53.20,325.00,271.80,5.28,52.484085,-1.890198,9,4.15,17.79,48.42,88.00,88.00,OK
55090,57.40,297.00,239.60,5.28,52.484100,-1.890200,9,3.82,11.92,45.00,152.00,152.00,OK
56125,47.00,295.00,248.00,5.28,52.484115,-1.890202,9,3.67,13.59,46.49,134.00,134.00,OK
57171,41.90,289.00,247.10,6.72,52.484123,-1.890197,9,2.96,17.69,47.84,136.00,136.00,OK
58229,42.00,291.00,249.00,6.72,52.484138,-1.890188,9,4.30,21.93,45.00,132.00,132.00,OK
59262,34.20,299.00,264.80,6.72,52.484149,-1.890183,9,4.22,18.84,45.00,102.00,102.00,OK
60296,34.90,348.00,313.10,6.72,52.484165,-1.890180,9,3.89,21.41,45.00,4.00,4.00,OK
61341,34.20,350.00,315.80,4.80,52.484176,-1.890173,9,4.00,24.34,45.00,0.00,0.00,OK
62377,28.30,338.00,309.70,4.80,52.484184,-1.890168,8,3.69,21.11,45.00,12.00,12.00,OK
63447,19.30,332.00,312.70,4.80,52.484191,-1.890158,9,4.00,20.02,45.00,6.00,6.00,OK
64482,23.60,325.00,301.40,4.80,52.484199,-1.890155,9,3.46,20.72,45.00,28.00,28.00,OK
65516,48.50,301.00,252.50,4.80,52.484207,-1.890152,9,3.65,21.67,45.00,126.00,126.00,OK
66550,30.00,285.00,255.00,4.80,52.484218,-1.890138,9,3.19,35.91,45.00,120.00,120.00,OK
67598,34.10,280.00,245.90,4.80,52.484218,-1.890133,9,1.76,40.04,45.00,140.00,140.00,OK
68660,14.50,278.00,263.50,4.80,52.484214,-1.890130,9,0.00,188.79,45.00,104.00,104.00,OK
69693,16.20,279.00,262.80,4.80,52.484214,-1.890127,9,0.00,326.90,45.00,106.00,106.00,OK
70726,17.50,314.00,296.50,4.80,52.484214,-1.890127,9,0.00,81.11,45.00,38.00,38.00,OK
71775,15.60,281.00,265.40,4.32,52.484214,-1.890127,8,0.00,81.11,45.00,100.00,100.00,OK
72809,14.20,274.00,259.80,4.32,52.484214,-1.890127,9,0.00,81.11,45.00,112.00,112.00,OK
73869,15.90,276.00,260.10,4.32,52.484214,-1.890127,8,0.00,81.11,45.00,110.00,110.00,OK
74905,14.30,264.00,249.70,4.32,52.484214,-1.890127,9,0.00,81.11,45.00,132.00,132.00,OK
75938,29.20,264.00,234.80,4.32,52.484214,-1.890127,9,0.00,81.11,45.00,162.00,162.00,OK
76972,22.90,257.00,234.10,7.20,52.484214,-1.890127,9,0.00,81.11,45.00,162.00,162.00,OK
78019,11.50,262.00,250.50,7.20,52.484214,-1.890127,9,0.00,81.11,45.00,130.00,130.00,OK
79077,10.30,268.00,257.70,7.20,52.484214,-1.890127,9,0.00,81.11,45.00,116.00,116.00,OK
80110,9.10,269.00,259.90,7.20,52.484214,-1.890127,9,0.00,81.11,45.00,112.00,112.00,OK
