Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status,DistanceToTarget(m)
104810,5.9,32.0,26.1,2.88,52.483943,-1.88929,7,0.0,287.45,45.0,0.0,0.0,OK,47.88941305146121
105838,17.0,0.0,343.0,2.88,52.48394,-1.889278,7,3.33,107.68,45.0,0.0,0.0,OK,48.42079704394574
106866,10.1,0.0,349.9,2.88,52.483943,-1.889267,7,3.2,134.84,45.0,0.0,0.0,OK,49.2326821212487
107919,21.3,0.0,338.7,2.88,52.483947,-1.889253,7,3.85,134.68,45.0,0.0,0.0,OK,50.276248148938514
108952,20.1,346.0,325.9,2.88,52.483943,-1.889245,7,3.44,151.15,45.0,0.0,0.0,OK,50.52905584980905
109982,42.3,345.0,302.7,2.88,52.483947,-1.88924,7,2.61,150.07,45.0,26.0,26.0,OK,51.0416997682346
111030,40.1,344.0,303.9,3.36,52.483947,-1.889235,7,2.06,154.67,45.0,24.0,24.0,OK,51.33708468375279
112063,39.8,342.0,302.2,3.36,52.483951,-1.88923,7,1.8,151.13,45.0,26.0,26.0,OK,51.84997676254784
113132,40.0,341.0,301.0,3.36,52.483951,-1.889225,7,0.0,162.32,45.0,28.0,28.0,OK,52.14517986054725
114168,47.4,339.0,291.6,3.36,52.483951,-1.889215,7,0.0,163.8,45.0,48.0,48.0,OK,52.73714997374187
115205,65.5,333.0,267.5,2.4,52.483951,-1.889202,7,2.5,161.57,135.0,96.0,96.0,OK,53.509731896570756
116239,62.9,328.0,265.1,2.4,52.483947,-1.889202,7,2.26,183.41,135.0,100.0,100.0,OK,53.29951237105789
117285,59.9,320.0,260.1,2.4,52.483943,-1.8892,7,2.15,191.23,45.0,110.0,110.0,OK,53.21227515267564
118341,59.8,319.0,259.2,2.4,52.48394,-1.8892,7,2.28,221.71,45.0,112.0,112.0,OK,53.0590480533237
119373,53.9,308.0,254.1,2.4,52.483936,-1.889192,7,2.17,172.3,45.0,118.0,122.0,OK,53.34161463938058
120414,50.4,308.0,257.6,2.88,52.483932,-1.889192,7,1.83,173.01,45.0,116.0,116.0,OK,53.14469105119456
121460,41.9,307.0,265.1,2.88,52.483928,-1.889178,7,1.96,126.64,45.0,100.0,100.0,OK,53.807063384909604
122494,44.1,314.0,269.9,2.88,52.483928,-1.889172,7,1.65,133.35,45.0,92.0,92.0,OK,54.17498098863923
123563,92.2,13.0,280.8,2.88,52.483924,-1.889168,7,0.0,127.38,135.0,70.0,70.0,OK,54.23485329603219
124597,110.0,11.0,261.0,2.88,52.483924,-1.889172,6,0.0,158.51,135.0,108.0,108.0,OK,53.98842679271292
125633,62.2,0.0,297.8,2.4,52.483924,-1.889172,6,0.0,141.39,125.0,36.0,36.0,OK,53.98842679271292
126668,55.3,0.0,304.7,2.4,52.483924,-1.889172,7,0.0,141.39,45.0,22.0,22.0,OK,53.98842679271292
